from_schema,from_table,from_column,to_schema,to_table,to_column,input_confidence,original_reasoning,unique_source_values_checked,matched_target_values,actual_value_overlap,final_system_verdict
lpp,ach_return,bank_account_ref,lpp,bank_account,code,High,"bank_account_ref in ach_return matches code values in bank_account (e.g., GR_DE_OPERATING_1 pattern matches bank_account codes)",17,17,100,CORRECT
lpp,acquirer_contract,acquirer_ref,lpp,acquirer,code,High,"acquirer_ref in acquirer_contract matches code values in acquirer table (e.g., ADYEN, BANK_OF_AMERICA_MS, FISERV)",8,8,100,CORRECT
lpp,acquirer_sla_metric,acquirer_ref,lpp,acquirer,code,High,"acquirer_ref in acquirer_sla_metric matches code values in acquirer table (e.g., FISERV)",8,8,100,CORRECT
lpp,acquirer,bank_ref,lpp,bank,code,High,"bank_ref in acquirer matches code values in bank table (e.g., BANK_BAC)",3,3,100,CORRECT
lpp,acquirer,settlement_account_ref,lpp,bank_account,code,High,"settlement_account_ref in acquirer matches code values in bank_account table (e.g., USA_RGNL_OPERATING, EUR_RGNL_OPERATING)",3,3,100,CORRECT
lpp,bank_account,branch_ref,lpp,bank_branch,code,High,"branch_ref in bank_account matches code values in bank_branch table (e.g., BR_HSBC_DXB, BR_ANZ_SYD)",25,25,100,CORRECT
lpp,bank_branch,bank_ref,lpp,bank,code,High,"bank_ref in bank_branch matches code values in bank table (e.g., BANK_ANZ, BANK_BAC, BANK_BBVA_MX)",14,14,100,CORRECT
lpp,bank_fee,bank_ref,lpp,bank,code,High,"bank_ref in bank_fee matches code values in bank table (e.g., BANK_RBC)",13,13,100,CORRECT
lpp,bank_fee,bank_account_ref,lpp,bank_account,code,High,"bank_account_ref in bank_fee matches code values in bank_account table (e.g., GR_CA_TAX_1, GR_CA_OPERATING_1, GR_CA_PAYROLL_1)",97,97,100,CORRECT
lpp,bank_fee,service_code,lpp,bank_service_type,code,High,"service_code in bank_fee matches code values in bank_service_type table (e.g., 100, 251, 260)",6,6,100,CORRECT
lpp,bank_statement_balance,account_ref,lpp,bank_account,code,High,"account_ref in bank_statement_balance matches code values in bank_account table (e.g., USA_RGNL_OPERATING)",115,115,100,CORRECT
lpp,bank_account_signatory,bank_account_ref,lpp,bank_account,code,High,"bank_account_ref in bank_account_signatory matches code values in bank_account table (e.g., GR_KR_TAX_1, GR_US_INC_TAX_1)",110,110,100,CORRECT
lpp,bank_account_signatory,user_ref,lpp,app_user,code,High,"user_ref in bank_account_signatory matches code values in app_user table (e.g., TREAS_FRONT, TREAS_BACK, CONTROLLER_GLOBAL)",9,9,100,CORRECT
lpp,bank_account_group_member,account_group_code,lpp,bank_account_group,code,High,account_group_code in bank_account_group_member is a foreign key to code in bank_account_group based on naming convention,0,0,0,WRONG (Source Column is Empty)
lpp,bank_account_group_member,bank_account_code,lpp,bank_account,code,High,bank_account_code in bank_account_group_member is a foreign key to code in bank_account based on naming convention,0,0,0,WRONG (Source Column is Empty)
lpp,bank_group_member,bank_group_code,lpp,bank_group,code,High,bank_group_code in bank_group_member is a foreign key to code in bank_group based on naming convention,0,0,0,WRONG (Source Column is Empty)
lpp,bank_group_member,bank_code,lpp,bank,code,High,bank_code in bank_group_member is a foreign key to code in bank based on naming convention,0,0,0,WRONG (Source Column is Empty)
lpp,borrowing,company_ref,lpp,company,code,High,"company_ref in borrowing matches code values in company table (e.g., GR_PL pattern matches company codes)",14,14,0,CORRECT
lpp,capital_allocation_actual,company_ref,lpp,company,code,High,company_ref values like GR_HOLDINGS match company.code values,3,3,0,CORRECT
lpp,card_rebate_earning,company_ref,lpp,company,code,High,company_ref values like GR_US_INC match company.code values,3,3,0,CORRECT
lpp,card_rebate_earning,program_ref,lpp,card_rebate_program,code,High,program_ref values like REB_AMEX_BUS directly match code values in card_rebate_program,4,4,0,CORRECT
lpp,card_rebate_program,company_ref,lpp,company,code,High,"company_ref values like GR_HOLDINGS, GR_US_INC, GR_EU_BV match company.code values",3,3,0,CORRECT
lpp,card_authorization,network_code,lpp,card_network,code,High,"network_code values like VISA, AMEX, MASTERCARD, COSTCO_PRIVATE match card_network.code values",8,8,0,CORRECT
lpp,card_bin_range,network_code,lpp,card_network,code,High,"network_code values like AMEX, JCB, VISA match card_network.code values",8,8,0,CORRECT
lpp,card_settlement_batch,network_code,lpp,card_network,code,High,"network_code values like VISA, MASTERCARD, AMEX, DISCOVER match card_network.code values",8,8,0,CORRECT
lpp,chargeback,network_code,lpp,card_network,code,High,"network_code values like MASTERCARD, AMEX, VISA match card_network.code values",8,8,0,CORRECT
lpp,card_settlement_line,batch_ref,lpp,card_settlement_batch,uuid,High,"batch_ref in card_settlement_line is a UUID reference to card_settlement_batch.uuid, following the _ref naming convention",34745,34745,0,CORRECT
lpp,card_settlement_line,authorization_ref,lpp,card_authorization,uuid,High,authorization_ref in card_settlement_line is a UUID reference to card_authorization.uuid,63237,63237,0,CORRECT
lpp,chargeback,authorization_ref,lpp,card_authorization,uuid,High,authorization_ref in chargeback is a UUID reference to card_authorization.uuid,906,906,0,CORRECT
lpp,chargeback,company_ref,lpp,company,code,High,company_ref values like GR_US_INC match company.code values,10,10,0,CORRECT
lpp,cash_flow,budget_code_ref,lpp,budget_code,code,High,budget_code_ref values like BC_OPS match budget_code.code values,4,4,0,CORRECT
lpp,cash_flow,flow_code_ref,lpp,cash_flow_code,code,High,flow_code_ref values like DISB_PAYROLL match cash_flow_code.code values,34,34,0,CORRECT
